ID	Stratum	Region	Reference
536	4	LAM	0.058315838
537	4	AFR	0.060092284
538	4	SEAS	0.090159259
539	4	SEAS	0.029196133
540	4	LAM	0.027804688
541	4	NEAS	0
542	4	AFR	0.047756341
543	4	NAM	0.038751695
544	4	NEAS	0.026400731
545	4	AFR	0.000669312
546	4	LAM	0.040527624
547	4	AFR	0.078289167
548	4	AFR	0.055422161
549	4	LAM	0.056212508
550	4	LAM	0.01471513
551	4	LAM	0.184284574
552	4	AFR	0.032367027
553	4	NAM	0.09959641
554	4	NEAS	0.048008355
555	4	NAM	0
556	4	NAM	0.053229091
557	4	LAM	0.04550147
558	4	AFR	0.074388278
559	4	SEAS	0.161496914
560	4	NEAS	0.000895685
561	4	NEAS	0.304098279
562	4	AFR	0.024731123
563	4	AFR	0.022338304
564	4	LAM	0.333011053
565	4	AFR	0.114040123
566	4	SEAS	0.043189506
567	4	LAM	0.051762329
568	4	AFR	0.014295988
569	4	AFR	0.012682845
570	4	SEAS	0.044318519
571	4	AFR	0.116918355
572	4	NEAS	0.035397039
573	4	SEAS	0.043014697
574	4	NAM	0.048853731
575	4	NAM	0.008349102
576	4	NEAS	0.061122316
577	4	NEAS	0.120023564
578	4	SEAS	0.06927201
579	4	LAM	0.011530247
580	4	SEAS	0.02675509
581	4	AFR	0.096428241
582	4	NAM	0
583	4	NAM	0.336854542
584	4	AFR	0.052262346
585	4	AFR	0.056791135
586	4	NAM	0.040063612
587	4	NEAS	0.170025998
588	4	SEAS	0.063958642
589	4	NAM	0
590	4	NEAS	0.31517541
591	4	LAM	0.053697531
592	4	NEAS	0
593	4	NAM	0.016609169
594	4	LAM	0.061924065
595	4	LAM	0.072967267
596	4	NAM	0.050178515
597	4	AUS	0.046073353
598	4	AFR	0.003629527
599	4	NEAS	0.123732488
600	4	AFR	0.053747084
